                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.1045,                0.57227,                0.96476,                 1.0965,                0.51545,                0.23077,                0.31346,                0.15237,                0.51545,                0.23077,                0.31346,                0.15637,                 1.9675,                0.26632,                 2.9746,                 1.7048,              0.0019747,              0.0019747,              0.0019747
                     67,                0.97842,                 0.4165,                0.88853,                 1.1156,                0.90005,                0.15385,                0.38943,                0.18992,                0.90005,                0.15385,                0.38943,                0.18478,                 2.0887,                0.26217,                 3.2811,                 1.7914,              0.0019743,              0.0019743,              0.0019743
                     68,                 1.1511,                0.59866,                0.89328,                 1.1491,                0.10909,                0.46154,                0.20344,                0.09179,                0.10909,                0.46154,                0.20344,                0.07955,                  2.475,                0.42274,                 3.8821,                 1.9891,              0.0019739,              0.0019739,              0.0019739
                     69,                  1.178,                0.50316,                0.87764,                 1.1781,                0.10909,                0.46154,                0.20344,                0.09179,                0.10909,                0.46154,                0.20344,                0.07955,                  2.475,                0.42274,                 3.8821,                 1.9891,              0.0019735,              0.0019735,              0.0019735
                     70,                  1.473,                 1.0763,                  1.178,                 1.2508,                0.07407,                0.15385,                0.12225,                 0.0294,                0.03704,                0.07692,                0.09216,                0.01718,                 2.8088,                 1.1764,                 4.3473,                  1.998,              0.0019731,              0.0019731,              0.0019731
                     71,                 1.3705,                0.70555,                 1.0369,                 1.2798,                      1,                 0.1437,                0.25866,                0.08917,                      1,                 0.1437,                0.25866,                0.05988,                 3.1031,                 1.2696,                 3.6603,                 2.3634,              0.0019727,              0.0019727,              0.0019727
                     72,                 1.3468,                0.81608,                  1.109,                 1.2275,                0.88671,                0.69231,                0.74007,                0.29208,                0.88671,                0.69231,                0.74007,                 0.2444,                  2.283,                0.87655,                  1.531,                 2.4499,              0.0019723,              0.0019723,              0.0019723
                     73,                 1.2636,                0.62268,                0.85988,                 1.0769,                0.88671,                0.69231,                0.74007,                0.29208,                0.88671,                0.69231,                0.74007,                 0.2444,                  2.283,                0.87655,                  1.531,                 2.4499,              0.0019719,              0.0019719,              0.0019719
                     74,                 1.2917,                0.67156,                 1.0252,                 1.1627,                 0.9875,                0.92308,                0.97556,                0.54027,                 0.9875,                0.92308,                0.97556,                0.48861,                 1.5202,                0.51597,                 0.9863,                 1.6679,              0.0019715,              0.0019715,              0.0019715
                     75,                 1.3426,                 0.8265,                0.98803,                 1.1482,                0.82991,                0.84615,                0.89831,                0.66122,                0.82991,                0.84615,                0.89831,                 0.6109,                 1.0614,                0.14361,                 1.2901,                 1.3346,              0.0019711,              0.0019711,              0.0019711
                     76,                0.99661,                 0.6661,                0.88862,                   1.08,                0.81666,                0.76923,                0.81415,                0.50049,                0.81666,                0.76923,                0.81415,                0.46471,                 1.4401,                0.12403,                 1.5452,                   1.56,              0.0019707,              0.0019707,              0.0019707
                     77,                 1.4143,                  0.479,                0.92143,                   1.18,                0.81666,                0.76923,                0.81415,                0.50049,                0.81666,                0.76923,                0.81415,                0.46471,                 1.4401,                0.12403,                 1.5452,                   1.56,              0.0019703,              0.0019703,              0.0019703
                     78,                 1.5542,                 0.5605,                 1.0186,                  1.326,                0.90427,                0.84615,                0.92129,                0.56663,                0.90427,                0.84615,                0.92129,                0.49467,                 1.6268,                 0.0728,                 1.1359,                 1.6787,              0.0019699,              0.0019699,              0.0019699
                     79,                 1.2366,                0.56106,                0.90597,                 1.1056,                0.97701,                0.84615,                0.90975,                0.65848,                0.97701,                0.84615,                0.90975,                0.66223,                 1.0462,                0.11363,                0.93436,                 1.1914,              0.0019695,              0.0019695,              0.0019695
                     80,                 1.0812,                0.56296,                0.85327,                 1.0435,                0.99353,                0.76923,                0.90163,                0.60791,                0.99353,                0.76923,                0.90163,                0.59749,                 1.2176,                0.16545,                 0.9137,                 1.2692,              0.0019691,              0.0019691,              0.0019691
                     81,                 1.2782,                0.49178,                0.80777,                 1.1315,                0.99353,                0.76923,                0.90163,                0.60791,                0.99353,                0.76923,                0.90163,                0.59749,                 1.2176,                0.16545,                 0.9137,                 1.2692,              0.0019687,              0.0019687,              0.0019687
                     82,                 1.2347,                0.52513,                0.82768,                 1.1072,                0.92236,                      1,                   0.99,                0.63818,                0.92236,                      1,                   0.99,                0.61779,                 1.2065,                0.18503,                0.71119,                  1.295,              0.0019683,              0.0019683,              0.0019683
                     83,                  1.292,                0.99028,                0.93372,                 1.1393,                0.95805,                0.92308,                0.98188,                0.69446,                0.95805,                0.92308,                0.98188,                0.63743,                 1.0287,                0.19831,                0.81061,                 1.1812,              0.0019679,              0.0019679,              0.0019679
                     84,                0.98758,                 0.5713,                0.77892,                 1.0166,                      1,                 0.8356,                0.89571,                0.52083,                      1,                 0.8356,                0.89571,                0.48883,                 1.4788,                0.19658,                 1.1041,                 1.5282,              0.0019675,              0.0019675,              0.0019675
                     85,                  1.265,                0.64335,                0.85754,                  1.201,                      1,                 0.8356,                0.89571,                0.52083,                      1,                 0.8356,                0.89571,                0.48883,                 1.4788,                0.19658,                 1.1041,                 1.5282,              0.0019671,              0.0019671,              0.0019671
                     86,                 1.1971,                0.79603,                0.91083,                 1.1617,                0.89389,                0.76923,                0.91264,                 0.5809,                0.89389,                0.76923,                0.91264,                0.53526,                 1.2479,                0.12662,                 1.2116,                 1.3599,              0.0019667,              0.0019667,              0.0019667
                     87,                 1.1624,                0.76925,                0.86664,                  1.117,                0.91479,                0.82709,                0.87194,                0.55914,                0.91479,                0.82709,                0.87194,                0.54417,                 1.1671,                0.14582,                 1.1139,                 1.3006,              0.0019663,              0.0019663,              0.0019663
                     88,                 1.0722,                0.71336,                0.83521,                 1.0578,                0.59415,                0.56443,                 0.6226,                0.39087,                0.59415,                0.56443,                 0.6226,                0.38982,                 1.2799,                0.17398,                  3.005,                 1.3442,              0.0019659,              0.0019659,              0.0019659
                     89,                 1.1354,                0.58932,                0.89637,                 1.1249,                0.59415,                0.56443,                 0.6226,                0.39087,                0.59415,                0.56443,                 0.6226,                0.38982,                 1.2799,                0.17398,                  3.005,                 1.3442,              0.0019655,              0.0019655,              0.0019655
                     90,                 1.1618,                0.68686,                0.83979,                 1.1035,                0.15015,                0.69231,                0.15677,                0.09014,                0.15015,                0.69231,                0.15677,                0.09117,                 1.5968,                0.18341,                 6.4782,                 1.5992,              0.0019652,              0.0019652,              0.0019652
                     91,                  1.245,                 0.7362,                 1.0684,                 1.1966,                0.86355,                0.76923,                0.80202,                0.47829,                0.86355,                0.76923,                0.80202,                0.48657,                 1.7294,                 2.0717,                 1.7048,                 1.7492,              0.0019648,              0.0019648,              0.0019648
                     92,                 1.3543,                0.66697,                 1.0424,                 1.1934,                0.77821,                0.92308,                 0.8943,                0.54252,                0.77821,                0.92308,                 0.8943,                0.51204,                 1.5627,                 4.7817,                 1.1805,                 1.6647,              0.0019644,              0.0019644,              0.0019644
                     93,                 1.1816,                 0.8475,                0.91198,                 1.1081,                0.77821,                0.92308,                 0.8943,                0.54252,                0.77821,                0.92308,                 0.8943,                0.51204,                 1.5627,                 4.7817,                 1.1805,                 1.6647,               0.001964,               0.001964,               0.001964
                     94,                  1.106,                0.62423,                0.85978,                 1.0819,                0.70797,                0.84615,                0.85498,                0.55418,                0.70797,                0.84615,                0.85498,                0.51119,                 1.3639,                 1.8486,                 1.1864,                 1.4193,              0.0019636,              0.0019636,              0.0019636
                     95,                 1.3726,                0.93682,                0.91156,                 1.2006,                0.91654,                 0.8449,                0.91259,                0.60234,                0.91654,                 0.8449,                0.91259,                0.55995,                  1.394,                 1.2138,                 1.0564,                 1.4406,              0.0019632,              0.0019632,              0.0019632
                     96,                 1.1144,                0.62818,                0.88427,                 1.0883,                 0.8315,                0.92308,                0.94061,                0.59003,                 0.8315,                0.92308,                0.94061,                0.55986,                 1.4004,                0.17104,                0.93717,                 1.4291,              0.0019628,              0.0019628,              0.0019628
                     97,                 0.9996,                0.67049,                0.75114,                 1.0503,                 0.8315,                0.92308,                0.94061,                0.59003,                 0.8315,                0.92308,                0.94061,                0.55986,                 1.4004,                0.17104,                0.93717,                 1.4291,              0.0019624,              0.0019624,              0.0019624
                     98,                 1.2463,                0.68324,                0.94685,                 1.1869,                0.79752,                0.92308,                0.92066,                0.55314,                0.79752,                0.92308,                0.92066,                0.50915,                 1.4429,                0.22184,                0.94842,                   1.43,               0.001962,               0.001962,               0.001962
                     99,                 1.1572,                0.55652,                 0.8367,                 1.1502,                0.84564,                0.46154,                0.56728,                0.37319,                0.84564,                0.46154,                0.56728,                0.36482,                 1.4794,                 0.4427,                 1.5931,                 1.4362,              0.0019616,              0.0019616,              0.0019616
                    100,                0.99704,                0.55688,                0.77293,                 1.0457,                0.71412,                0.61538,                0.58148,                0.30499,                0.62429,                0.53846,                0.48299,                0.26387,                 1.8847,                0.50101,                 1.2487,                 1.8814,              0.0019612,              0.0019612,              0.0019612
                    101,                 1.0448,                0.51965,                   0.87,                 1.1307,                0.71412,                0.61538,                0.58148,                0.30499,                0.62429,                0.53846,                0.48299,                0.26387,                 1.8847,                0.50101,                 1.2487,                 1.8814,              0.0019608,              0.0019608,              0.0019608
